treatment,repetition,species,dry.weight,final.length,fresh.weight,water.content,root.length,aerial.length,root.shoot,nr.leaves,initial length,wrong calculus,pr.growth
1,1,triticum,3.75,77,5.16,37.6,27,50,0.54,7,28,275,44
1,2,triticum,3.44,82,5.35,35.70093458,36,46,0.7826086957,9,23.2,353.4482759,49.56521739
1,3,triticum,3.88,72,5.77,32.75563258,26,46,0.5652173913,8,28.2,255.3191489,38.69565217
1,4,triticum,5.12,81,6.52,21.47239264,30,51,0.5882352941,8,33.7,240.3560831,33.92156863
1,5,triticum,3.65,79,5.32,31.39097744,31,48,0.6458333333,8,28.4,278.1690141,40.83333333
1,6,triticum,4.21,78,5.58,24.55197133,32,46,0.6956521739,9,23.9,326.3598326,48.04347826
2,1,triticum,0.22,66.5,0.72,69.44444444,24,42.5,0.5647058824,4,30,221.6666667,29.41176471
2,2,triticum,0.26,60.4,0.71,63.38028169,17.9,42.5,0.4211764706,5,31.2,193.5897436,26.58823529
2,3,triticum,0.23,56.3,0.71,67.6056338,17.3,39,0.4435897436,4,32.4,173.7654321,16.92307692
2,4,triticum,0.25,63.7,0.73,65.75342466,21.2,42.5,0.4988235294,4,30.7,207.4918567,27.76470588
2,5,triticum,0.23,63,0.58,60.34482759,23,40,0.575,4,31.7,198.7381703,20.75
2,6,triticum,0.24,63.2,0.79,69.62025316,23.2,40,0.58,4,28.5,221.754386,28.75
3,1,triticum,0.22,48,1.1,80,15.5,32.5,0.4769230769,4,27.1,177.1217712,16.61538462
3,2,triticum,0.23,66,1.32,82.57575758,32,34,0.9411764706,4,26.4,250,22.35294118
3,3,triticum,0.16,43,0.8,80,15,28,0.5357142857,4,18.8,228.7234043,32.85714286
3,4,triticum,0.21,49,1.18,82.20338983,16.5,32.5,0.5076923077,5,17.8,275.2808989,45.23076923
3,5,triticum,0.77,54,1.32,41.66666667,24.1,29.9,0.8060200669,5,17,317.6470588,43.14381271
3,6,triticum,0.24,55,1.4,82.85714286,15,40,0.375,4,17.2,319.7674419,57
4,1,triticum,0.15,36.1,0.8,81.25,5.6,30.5,0.1836065574,4,25.4,142.1259843,16.72131148
4,2,triticum,0.33,47.6,1.28,74.21875,10.6,37,0.2864864865,5,22.8,208.7719298,38.37837838
4,3,triticum,0.69,53.1,1.44,52.08333333,17.6,35.5,0.4957746479,5,19.3,275.1295337,45.63380282
4,4,triticum,0.16,42,0.94,82.9787234,16,26,0.6153846154,4,24.3,172.8395062,6.538461538
4,5,triticum,0.37,56,1.73,78.61271676,18,38,0.4736842105,4,27.6,202.8985507,27.36842105
4,6,triticum,0.13,33,0.85,84.70588235,11.5,21.5,0.5348837209,3,24.5,134.6938776,-13.95348837
1,1,lolium,0.24,39.5,0.75,68,14.5,25,0.58,4,15.7,251.5923567,37.2
1,2,lolium,0.08,52.5,1.05,92.38095238,24,28.5,0.8421052632,6,12.7,413.3858268,55.43859649
1,3,lolium,0.05,56.2,0.65,92.30769231,30.2,26,1.161538462,6,9.2,610.8695652,64.61538462
1,4,lolium,0.00,22,0.12,100,13,9,1.444444444,2,14.4,152.7777778,-60
1,5,lolium,0.07,49,1.2,94.16666667,24.5,24.5,1,9,11.5,426.0869565,53.06122449
1,6,lolium,0.08,51.2,0.97,91.75257732,22.7,28.5,0.7964912281,7,17,301.1764706,40.35087719
2,1,lolium,0.00,26.5,0.09,100,16.5,10,1.65,2,9,294.4444444,10
2,2,lolium,0.19,43.3,0.66,71.21212121,17.3,26,0.6653846154,11,11,393.6363636,57.69230769
2,3,lolium,0.00,30,0.08,100,16,14,1.142857143,2,12.6,238.0952381,10
2,4,lolium,0.04,39.5,0.2,80,18,21.5,0.8372093023,2,7.3,541.0958904,66.04651163
2,5,lolium,0.00,22.5,0.09,100,9.5,13,0.7307692308,2,11.2,200.8928571,13.84615385
2,6,lolium,0.03,33,0.29,89.65517241,19,14,1.357142857,3,14.1,234.0425532,-0.7142857143
3,1,lolium,0.03,39.5,0.33,90.90909091,18,21.5,0.8372093023,4,9.6,411.4583333,55.34883721
3,2,lolium,0.05,45.7,0.44,88.63636364,20.7,25,0.828,6,12.6,362.6984127,49.6
3,3,lolium,0.02,35,0.46,95.65217391,14.5,20.5,0.7073170732,5,12.9,271.3178295,37.07317073
3,4,lolium,0.03,38.5,0.36,91.66666667,21.5,17,1.264705882,5,14.4,267.3611111,15.29411765
3,5,lolium,0.04,41.4,0.53,92.45283019,19.4,22,0.8818181818,5,13.2,313.6363636,40
3,6,lolium,0.05,44.5,0.62,91.93548387,22.5,22,1.022727273,7,15.5,287.0967742,29.54545455
4,1,lolium,0.09,35,0.62,85.48387097,8,27,0.2962962963,6,13.2,265.1515152,51.11111111
4,2,lolium,0.09,35.5,0.68,86.76470588,13.5,22,0.6136363636,7,11.7,303.4188034,46.81818182
4,3,lolium,0.17,44.7,1.01,83.16831683,17.7,27,0.6555555556,11,15.5,288.3870968,42.59259259
4,4,lolium,0.13,46.6,0.88,85.22727273,15.6,31,0.5032258065,8,19.1,243.9790576,38.38709677
4,5,lolium,0.00,25,0.21,100,10,15,0.6666666667,5,14.8,168.9189189,1.333333333
4,6,lolium,0.03,27.5,0.23,86.95652174,6,21.5,0.2790697674,3,7.2,381.9444444,66.51162791
