treatment,repetition,species,humidity,salinity,length.l1,nr.leaves,day
1,1,triticum,51.6,1.36,28,4,1
1,2,triticum,51.3,1.42,23.2,4,1
1,3,triticum,51.7,1.36,28.2,3,1
1,4,triticum,51,1.44,33.7,4,1
1,5,triticum,46.1,1.33,28.4,3,1
1,6,triticum,52.2,1.52,23.9,3,1
2,1,triticum,56.6,1.52,30,3,1
2,2,triticum,56.4,1.79,31.2,3,1
2,3,triticum,46.9,1.63,32.4,3,1
2,4,triticum,58.6,1.76,30.7,4,1
2,5,triticum,55.7,1.5,31.7,4,1
2,6,triticum,62.1,1.56,28.5,3,1
3,1,triticum,47.4,1.15,27.1,3,1
3,2,triticum,50.9,1.19,26.4,3,1
3,3,triticum,42.7,1.16,18.8,3,1
3,4,triticum,45.9,1.4,17.8,3,1
3,5,triticum,41.3,1.12,17,3,1
3,6,triticum,41.5,1.21,17.2,3,1
4,1,triticum,47.9,1.26,25.4,3,1
4,2,triticum,53.4,1.47,22.8,3,1
4,3,triticum,53.2,1.39,19.3,3,1
4,4,triticum,43.6,1.42,24.3,3,1
4,5,triticum,52.9,1.22,27.6,3,1
4,6,triticum,57.5,1.32,24.5,3,1
1,1,lolium,46.4,1.32,15.7,2,1
1,2,lolium,57.8,1.34,12.7,2,1
1,3,lolium,55.2,1.38,9.2,2,1
1,4,lolium,57.9,1.29,14.4,2,1
1,5,lolium,49.6,1.3,11.5,3,1
1,6,lolium,46.6,1.29,17,3,1
2,1,lolium,56.8,1.35,9,2,1
2,2,lolium,61.6,1.6,11,2,1
2,3,lolium,52.6,1.37,12.6,2,1
2,4,lolium,55.1,1.41,7.3,2,1
2,5,lolium,54.3,1.18,11.2,2,1
2,6,lolium,52.8,1.28,14.1,3,1
3,1,lolium,54.8,1.26,9.6,2,1
3,2,lolium,49.7,1.27,12.6,2,1
3,3,lolium,55.4,1.18,12.9,2,1
3,4,lolium,53.8,1.23,14.4,3,1
3,5,lolium,54.1,1.34,13.2,2,1
3,6,lolium,56,1.2,15.5,3,1
4,1,lolium,51.5,1.44,13.2,3,1
4,2,lolium,57.5,1.52,11.7,3,1
4,3,lolium,54.4,1.57,15.5,3,1
4,4,lolium,54.7,1.56,19.1,3,1
4,5,lolium,54.1,1.32,14.8,2,1
4,6,lolium,57.1,1.54,7.2,3,1
1,1,triticum,46.6,1.43,,,2
1,2,triticum,49.8,1.43,,,2
1,3,triticum,43.8,1.35,,,2
1,4,triticum,44.2,1.36,,,2
1,5,triticum,45.4,1.32,,,2
1,6,triticum,50.1,1.41,,,2
2,1,triticum,30.7,1.43,,,2
2,2,triticum,33.9,1.54,,,2
2,3,triticum,28.1,1.62,,,2
2,4,triticum,34.1,1.57,,,2
2,5,triticum,33.1,1.59,,,2
2,6,triticum,34.1,1.56,,,2
3,1,triticum,40.4,4.4,,,2
3,2,triticum,53.1,4.04,,,2
3,3,triticum,31.2,2.95,,,2
3,4,triticum,37.1,3.32,,,2
3,5,triticum,40.5,5.07,,,2
3,6,triticum,47.7,3.57,,,2
4,1,triticum,36.7,14.98,,,2
4,2,triticum,32.3,19.32,,,2
4,3,triticum,38.1,14.77,,,2
4,4,triticum,38.8,7.34,,,2
4,5,triticum,46.3,10.06,,,2
4,6,triticum,34.8,13.28,,,2
1,1,lolium,48.9,1.31,,,2
1,2,lolium,51.9,1.5,,,2
1,3,lolium,49,1.29,,,2
1,4,lolium,45.8,1.2,,,2
1,5,lolium,41.8,1.41,,,2
1,6,lolium,34.2,1.24,,,2
2,1,lolium,36.2,1.36,,,2
2,2,lolium,37,1.66,,,2
2,3,lolium,25.2,1.38,,,2
2,4,lolium,27.1,1.31,,,2
2,5,lolium,35,1.24,,,2
2,6,lolium,31.5,1.26,,,2
3,1,lolium,53.3,3.44,,,2
3,2,lolium,45.4,2.9,,,2
3,3,lolium,45.8,2.82,,,2
3,4,lolium,52.5,3.3,,,2
3,5,lolium,49.9,3.52,,,2
3,6,lolium,55.9,3.38,,,2
4,1,lolium,46.3,7.05,,,2
4,2,lolium,37.1,12.21,,,2
4,3,lolium,34.8,12.71,,,2
4,4,lolium,43.8,7.84,,,2
4,5,lolium,35.9,10.88,,,2
4,6,lolium,48.1,8.76,,,2
1,1,triticum,59.6,1.59,35.1,6,3
1,2,triticum,61.2,1.56,33.4,5,3
1,3,triticum,55.9,1.56,34.4,5,3
1,4,triticum,61.7,1.61,40,6,3
1,5,triticum,58.2,1.53,33.4,5,3
1,6,triticum,58,1.79,36,5,3
2,1,triticum,16.3,1.89,38.6,5,3
2,2,triticum,18.4,1.88,36,5,3
2,3,triticum,15.6,1.92,36.5,5,3
2,4,triticum,18.7,1.9,35,6,3
2,5,triticum,18.1,1.96,35.6,6,3
2,6,triticum,20.2,1.73,32.4,5,3
3,1,triticum,56.1,3.95,33,5,3
3,2,triticum,63.5,4.77,30,4,3
3,3,triticum,41.1,4.04,27.5,3,3
3,4,triticum,43.4,4.03,27.8,4,3
3,5,triticum,45.6,4.15,25.4,4,3
3,6,triticum,52,5.03,27.5,4,3
4,1,triticum,51.9,11.34,25.5,3,3
4,2,triticum,29,22.52,34.4,4,3
4,3,triticum,24,38.35,29.6,4,3
4,4,triticum,33.8,19.94,28,3,3
4,5,triticum,42.6,16.72,29.6,4,3
4,6,triticum,30.6,21.9,28.5,4,3
1,1,lolium,55.4,1.46,21.4,4,3
1,2,lolium,50.2,1.27,22.9,4,3
1,3,lolium,56.5,1.54,15.8,4,3
1,4,lolium,46.2,1.22,8.4,3,3
1,5,lolium,57.6,1.47,19.5,6,3
1,6,lolium,41.2,1.26,23.9,4,3
2,1,lolium,26.6,1.59,10.1,3,3
2,2,lolium,19.4,1.57,24.1,6,3
2,3,lolium,21,1.81,16.7,3,3
2,4,lolium,15.2,1.34,19.4,3,3
2,5,lolium,25.4,1.57,13.6,3,3
2,6,lolium,18.8,1.3,15.1,3,3
3,1,lolium,65.5,4.23,15.8,4,3
3,2,lolium,48.9,3.64,18.1,3,3
3,3,lolium,55.6,4.24,14.1,4,3
3,4,lolium,51.8,3.38,15.5,4,3
3,5,lolium,51.3,3.72,20.8,4,3
3,6,lolium,39.2,2.98,16.7,4,3
4,1,lolium,39.8,21.71,22.2,7,3
4,2,lolium,29.6,25.28,19.3,4,3
4,3,lolium,22.2,37.46,27,7,3
4,4,lolium,46.4,10.33,24.6,6,3
4,5,lolium,28,24.82,11.5,3,3
4,6,lolium,43.7,13.04,16.7,5,3
1,1,triticum,21.9,1.58,46,7,4
1,2,triticum,27.2,1.52,41,7,4
1,3,triticum,28.7,1.41,48,7,4
1,4,triticum,33.6,1.43,51.5,8,4
1,5,triticum,25.8,1.4,47,7,4
1,6,triticum,29.9,1.49,44,8,4
2,1,triticum,,,42,7,4
2,2,triticum,,,39,5,4
2,3,triticum,,,47,5,4
2,4,triticum,,,38.5,6,4
2,5,triticum,,,40,5,4
2,6,triticum,,,40.5,5,4
3,1,triticum,44.9,4.07,27,5,4
3,2,triticum,41.3,4.22,26,4,4
3,3,triticum,22.8,3.24,23.5,3,4
3,4,triticum,24.3,3.16,32,4,4
3,5,triticum,32.6,4.33,30.5,4,4
3,6,triticum,24.3,3.76,40,4,4
4,1,triticum,38.3,11.85,27,3,4
4,2,triticum,,,36,5,4
4,3,triticum,,,33,5,4
4,4,triticum,,,26,4,4
4,5,triticum,,,31.5,5,4
4,6,triticum,,,27,4,4
1,1,lolium,43.1,1.41,20,3,4
1,2,lolium,46.6,1.59,24.5,5,4
1,3,lolium,43.1,1.42,24,5,4
1,4,lolium,48.8,1.24,9,2,4
1,5,lolium,38.9,1.21,24,7,4
1,6,lolium,37.2,1.4,28,5,4
2,1,lolium,8.8,1.67,8.5,3,4
2,2,lolium,3.3,,27,12,4
2,3,lolium,3.1,,15,3,4
2,4,lolium,4.3,,20,3,4
2,5,lolium,7.4,,13,3,4
2,6,lolium,6.2,,15,3,4
3,1,lolium,40.4,10.71,21,3,4
3,2,lolium,49.3,10.99,24,3,4
3,3,lolium,46.1,12.45,19,5,4
3,4,lolium,46.5,11.79,16.5,4,4
3,5,lolium,34.1,18.63,21.5,3,4
3,6,lolium,36.3,15.01,18.5,4,4
4,1,lolium,27.1,33.14,27,9,4
4,2,lolium,,,23,7,4
4,3,lolium,,,26,10,4
4,4,lolium,,,29,8,4
4,5,lolium,,,14.5,4,4
4,6,lolium,,,21.5,4,4
1,1,triticum,11.5,1.63,7,50,5
1,2,triticum,9.2,1.88,9,46,5
1,3,triticum,11.2,1.66,8,46,5
1,4,triticum,11.5,1.64,8,51,5
1,5,triticum,11.2,1.57,8,48,5
1,6,triticum,15.2,1.55,9,46,5
2,1,triticum,NA,NA,4,42.5,5
2,2,triticum,NA,NA,5,42.5,5
2,3,triticum,NA,NA,4,39,5
2,4,triticum,NA,NA,4,42.5,5
2,5,triticum,NA,NA,4,40,5
2,6,triticum,NA,NA,4,40,5
3,1,triticum,46,8.25,4,32.5,5
3,2,triticum,42,9.9,4,34,5
3,3,triticum,36.6,4.26,4,28,5
3,4,triticum,36.2,4.87,5,32.5,5
3,5,triticum,37.4,5.74,5,29.9,5
3,6,triticum,34.3,5.93,4,40,5
4,1,triticum,NA,NA,4,30.5,5
4,2,triticum,NA,NA,5,37,5
4,3,triticum,NA,NA,5,35.5,5
4,4,triticum,NA,NA,4,26,5
4,5,triticum,NA,NA,4,38,5
4,6,triticum,NA,,3,21.5,5
1,1,lolium,40.4,1.47,4,25,5
1,2,lolium,43.5,1.84,6,28.5,5
1,3,lolium,39.6,1.44,6,26,5
1,4,lolium,46.1,1.37,2,9,5
1,5,lolium,37.5,1.68,9,24.5,5
1,6,lolium,38.6,1.42,7,28.5,5
2,1,lolium,NA,NA,2,10,5
2,2,lolium,NA,NA,11,26,5
2,3,lolium,NA,NA,2,14,5
2,4,lolium,NA,NA,2,21.5,5
2,5,lolium,NA,NA,2,13,5
2,6,lolium,NA,NA,3,14,5
3,1,lolium,NA,NA,4,21.5,5
3,2,lolium,NA,NA,6,25,5
3,3,lolium,NA,NA,5,20.5,5
3,4,lolium,NA,NA,5,17,5
3,5,lolium,NA,NA,5,22,5
3,6,lolium,NA,NA,7,22,5
4,1,lolium,NA,NA,6,27,5
4,2,lolium,NA,NA,7,22,5
4,3,lolium,NA,NA,11,27,5
4,4,lolium,NA,NA,8,31,5
4,5,lolium,NA,NA,5,15,5
4,6,lolium,NA,NA,3,21.5,5
