treatment,repetition,dry.weight,final.length,fresh.weight
Tc,1,3.75,77,5.16
Tc,2,3.44,82,5.35
Tc,3,3.88,72,5.77
Tc,4,5.12,81,6.52
Tc,5,3.65,79,5.32
Tc,6,4.21,78,5.58
Tt1,1,0.22,66.5,0.72
Tt1,2,0.26,60.4,0.71
Tt1,3,0.23,56.3,0.71
Tt1,4,0.25,63.7,0.73
Tt1,5,0.23,63,0.58
Tt1,6,0.24,63.2,0.79
Tt2,1,0.22,48,1.1
Tt2,2,0.23,66,1.32
Tt2,3,0.16,43,0.8
Tt2,4,0.21,49,1.18
Tt2,5,0.77,54,1.32
Tt2,6,0.24,55,1.4
Tt3,1,0.15,36.1,0.8
Tt3,2,0.33,47.6,1.28
Tt3,3,0.69,53.1,1.44
Tt3,4,0.16,42,0.94
Tt3,5,0.37,56,1.73
Tt3,6,0.13,33,0.85
Lc,1,0.24,39.5,0.75
Lc,2,0.08,52.5,1.05
Lc,3,0.05,56.2,0.65
Lc,4,0.00,22,0.12
Lc,5,0.07,49,1.2
Lc,6,0.08,51.2,0.97
Lt1,1,0.00,26.5,0.09
Lt1,2,0.19,43.3,0.66
Lt1,3,0.00,30,0.08
Lt1,4,0.04,39.5,0.2
Lt1,5,0.00,22.5,0.09
Lt1,6,0.03,33,0.29
Lt2,1,0.03,39.5,0.33
Lt2,2,0.05,45.7,0.44
Lt2,3,0.02,35,0.46
Lt2,4,0.03,38.5,0.36
Lt2,5,0.04,41.4,0.53
Lt2,6,0.05,44.5,0.62
Lt3,1,0.09,35,0.62
Lt3,2,0.09,35.5,0.68
Lt3,3,0.17,44.7,1.01
Lt3,4,0.13,46.6,0.88
Lt3,5,0.00,25,0.21
Lt3,6,0.03,27.5,0.23
